"macro_name","body"
"__USE_POSIX_IMPLICITLY","#define __USE_POSIX_IMPLICITLY 1"
"_SYS_CDEFS_H","#define _SYS_CDEFS_H 1"
"__OPTIMIZE_SIZE__","#define __OPTIMIZE_SIZE__ 1"
"__OPTIMIZE__","#define __OPTIMIZE__ 1"
"__GNUC_MINOR__","#define __GNUC_MINOR__ 3"
"__GNUC__","#define __GNUC__ 13"
"__STDC_VERSION__","#define __STDC_VERSION__ 199901L"
"__STDC_VERSION__","#define __STDC_VERSION__ 201710L"
"__STDC_VERSION__","#define __STDC_VERSION__ 201112L"
"__WCHAR_TYPE__","#define __WCHAR_TYPE__ int"
"_FORTIFY_SOURCE","#define _FORTIFY_SOURCE 3"
"__SYSCALL_WORDSIZE","#define __SYSCALL_WORDSIZE 64"
"__WORDSIZE_TIME64_COMPAT32","#define __WORDSIZE_TIME64_COMPAT32 1"
"__WORDSIZE","#define __WORDSIZE 64"
"__x86_64__","#define __x86_64__ 1"
"_WINT_T","#define _WINT_T 1"
"__WINT_TYPE__","#define __WINT_TYPE__ unsigned int"
"__TIMESIZE","#define __TIMESIZE __WORDSIZE"
"__STRICT_ANSI__","#define __STRICT_ANSI__ 1"
"__GNUG__","#define __GNUG__ 13"
"_GCC_MAX_ALIGN_T","#define _GCC_MAX_ALIGN_T "
"_GXX_NULLPTR_T","#define _GXX_NULLPTR_T "
"_STDC_PREDEF_H","#define _STDC_PREDEF_H 1"
"__GLIBC_USE_IEC_60559_TYPES_EXT","#define __GLIBC_USE_IEC_60559_TYPES_EXT 0"
"__GLIBC_USE_IEC_60559_TYPES_EXT","#define __GLIBC_USE_IEC_60559_TYPES_EXT 1"
"__GLIBC_USE_IEC_60559_FUNCS_EXT_C2X","#define __GLIBC_USE_IEC_60559_FUNCS_EXT_C2X 0"
"__GLIBC_USE_IEC_60559_FUNCS_EXT_C2X","#define __GLIBC_USE_IEC_60559_FUNCS_EXT_C2X 1"
"__GLIBC_USE_IEC_60559_FUNCS_EXT","#define __GLIBC_USE_IEC_60559_FUNCS_EXT 0"
"__GLIBC_USE_IEC_60559_FUNCS_EXT","#define __GLIBC_USE_IEC_60559_FUNCS_EXT 1"
"__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI","#define __LDOUBLE_REDIRECTS_TO_FLOAT128_ABI 0"
"__GLIBC_USE_IEC_60559_EXT","#define __GLIBC_USE_IEC_60559_EXT 0"
"__GLIBC_USE_IEC_60559_EXT","#define __GLIBC_USE_IEC_60559_EXT 1"
"__GLIBC_USE_IEC_60559_BFP_EXT_C2X","#define __GLIBC_USE_IEC_60559_BFP_EXT_C2X 0"
"__GLIBC_USE_IEC_60559_BFP_EXT_C2X","#define __GLIBC_USE_IEC_60559_BFP_EXT_C2X 1"
"__GLIBC_USE_IEC_60559_BFP_EXT","#define __GLIBC_USE_IEC_60559_BFP_EXT 0"
"__GLIBC_USE_IEC_60559_BFP_EXT","#define __GLIBC_USE_IEC_60559_BFP_EXT 1"
"__attribute_returns_twice__","#define __attribute_returns_twice__ __attribute__ ((__returns_twice__))"
"__attr_dealloc_free","#define __attr_dealloc_free __attr_dealloc (__builtin_free, 1)"
"__GLIBC_USE_LIB_EXT2","#define __GLIBC_USE_LIB_EXT2 0"
"__GLIBC_USE_LIB_EXT2","#define __GLIBC_USE_LIB_EXT2 1"
"__GLIBC_INTERNAL_STARTING_HEADER_IMPLEMENTATION","#define __GLIBC_INTERNAL_STARTING_HEADER_IMPLEMENTATION "
"__HAVE_GENERIC_SELECTION","#define __HAVE_GENERIC_SELECTION 0"
"__HAVE_GENERIC_SELECTION","#define __HAVE_GENERIC_SELECTION 1"
"__attribute_copy__","#define __attribute_copy__(arg) __attribute__ ((__copy__ (arg)))"
"__attribute_nonstring__","#define __attribute_nonstring__ __attribute__ ((__nonstring__))"
"__restrict_arr","#define __restrict_arr __restrict"
"__restrict_arr","#define __restrict_arr "
"__fortify_function","#define __fortify_function __extern_always_inline __attribute_artificial__"
"__WCHAR_MIN","#define __WCHAR_MIN __WCHAR_MIN__"
"__WCHAR_MIN__","#define __WCHAR_MIN__ (-__WCHAR_MAX__ - 1)"
"__WCHAR_MAX","#define __WCHAR_MAX __WCHAR_MAX__"
"__WCHAR_MAX__","#define __WCHAR_MAX__ 0x7fffffff"
"__extern_always_inline","#define __extern_always_inline extern __always_inline __attribute__ ((__gnu_inline__))"
"_BITS_WCHAR_H","#define _BITS_WCHAR_H 1"
"__extern_inline","#define __extern_inline extern __inline __attribute__ ((__gnu_inline__))"
"__attribute_artificial__","#define __attribute_artificial__ __attribute__ ((__artificial__))"
"__always_inline","#define __always_inline __inline __attribute__ ((__always_inline__))"
"__wur","#define __wur __attribute_warn_unused_result__"
"__wur","#define __wur "
"__attribute_warn_unused_result__","#define __attribute_warn_unused_result__ __attribute__ ((__warn_unused_result__))"
"__returns_nonnull","#define __returns_nonnull __attribute__ ((__returns_nonnull__))"
"__attribute_deprecated__","#define __attribute_deprecated__ __attribute__ ((__deprecated__))"
"__attribute_noinline__","#define __attribute_noinline__ __attribute__ ((__noinline__))"
"__attribute_used__","#define __attribute_used__ __attribute__ ((__used__))"
"__attribute_maybe_unused__","#define __attribute_maybe_unused__ __attribute__ ((__unused__))"
"__attribute_const__","#define __attribute_const__ __attribute__ ((__const__))"
"__attribute_pure__","#define __attribute_pure__ __attribute__ ((__pure__))"
"__attribute_malloc__","#define __attribute_malloc__ __attribute__ ((__malloc__))"
"__REDIRECT_FORTIFY_NTH","#define __REDIRECT_FORTIFY_NTH __REDIRECT_NTH"
"__REDIRECT_NTH","#define __REDIRECT_NTH(name,proto,alias) name proto __THROW __asm__ (__ASMNAME (#alias))"
"__REDIRECT_NTH","#define __REDIRECT_NTH(name,proto,alias) name proto __asm__ (__ASMNAME (#alias)) __THROW"
"__REDIRECT_FORTIFY","#define __REDIRECT_FORTIFY __REDIRECT"
"_BITS_STDINT_UINTN_H","#define _BITS_STDINT_UINTN_H 1"
"__REDIRECT","#define __REDIRECT(name,proto,alias) name proto __asm__ (__ASMNAME (#alias))"
"__glibc_c99_flexarr_available","#define __glibc_c99_flexarr_available 1"
"__flexarr","#define __flexarr []"
"__END_DECLS","#define __END_DECLS }"
"__END_DECLS","#define __END_DECLS "
"__BEGIN_DECLS","#define __BEGIN_DECLS extern ""C"" {"
"__BEGIN_DECLS","#define __BEGIN_DECLS "
"__ptr_t","#define __ptr_t void *"
"_BITS_STDINT_LEAST_H","#define _BITS_STDINT_LEAST_H 1"
"_STDLIB_H","#define _STDLIB_H 1"
"__COLD","#define __COLD __attribute__ ((__cold__))"
"__THROWNL","#define __THROWNL __THROW"
"__THROWNL","#define __THROWNL __attribute__ ((__nothrow__))"
"__THROW","#define __THROW noexcept (true)"
"__THROW","#define __THROW __attribute__ ((__nothrow__ __LEAF))"
"__LEAF_ATTR","#define __LEAF_ATTR __attribute__ ((__leaf__))"
"__LEAF","#define __LEAF , __leaf__"
"__PMT","#define __PMT(args) args"
"__P","#define __P(args) args"
"__USE_EXTERN_INLINES","#define __USE_EXTERN_INLINES 1"
"WINT_MAX","#define WINT_MAX (4294967295u)"
"WINT_MIN","#define WINT_MIN (0u)"
"WCHAR_MAX","#define WCHAR_MAX __WCHAR_MAX"
"WCHAR_MIN","#define WCHAR_MIN __WCHAR_MIN"
"SIZE_MAX","#define SIZE_MAX (18446744073709551615UL)"
"SIG_ATOMIC_MAX","#define SIG_ATOMIC_MAX (2147483647)"
"SIG_ATOMIC_MIN","#define SIG_ATOMIC_MIN (-2147483647-1)"
"PTRDIFF_MAX","#define PTRDIFF_MAX (9223372036854775807L)"
"PTRDIFF_MIN","#define PTRDIFF_MIN (-9223372036854775807L-1)"
"UINTMAX_MAX","#define UINTMAX_MAX (__UINT64_C(18446744073709551615))"
"INTMAX_MAX","#define INTMAX_MAX (__INT64_C(9223372036854775807))"
"INTMAX_MIN","#define INTMAX_MIN (-__INT64_C(9223372036854775807)-1)"
"UINTPTR_MAX","#define UINTPTR_MAX (18446744073709551615UL)"
"INTPTR_MAX","#define INTPTR_MAX (9223372036854775807L)"
"INTPTR_MIN","#define INTPTR_MIN (-9223372036854775807L-1)"
"__attribute_nonnull__","#define __attribute_nonnull__(params) __attribute__ ((__nonnull__ params))"
"__nonnull","#define __nonnull(params) __attribute_nonnull__ (params)"
"free","#define free use_hfree_instead"
"free","#define free(ptr) je_free(ptr)"
"realloc","#define realloc use_hrealloc_instead"
"realloc","#define realloc(ptr,size) je_realloc(ptr,size)"
"calloc","#define calloc(count,size) je_calloc(count,size)"
"malloc","#define malloc use_hmalloc_instead"
"malloc","#define malloc(size) je_malloc(size)"
"UINT_FAST64_MAX","#define UINT_FAST64_MAX (__UINT64_C(18446744073709551615))"
"UINT_FAST32_MAX","#define UINT_FAST32_MAX (18446744073709551615UL)"
"UINT_FAST16_MAX","#define UINT_FAST16_MAX (18446744073709551615UL)"
"UINT_FAST8_MAX","#define UINT_FAST8_MAX (255)"
"INT_FAST64_MAX","#define INT_FAST64_MAX (__INT64_C(9223372036854775807))"
"INT_FAST32_MAX","#define INT_FAST32_MAX (9223372036854775807L)"
"INT_FAST16_MAX","#define INT_FAST16_MAX (9223372036854775807L)"
"INT_FAST8_MAX","#define INT_FAST8_MAX (127)"
"INT_FAST64_MIN","#define INT_FAST64_MIN (-__INT64_C(9223372036854775807)-1)"
"INT_FAST32_MIN","#define INT_FAST32_MIN (-9223372036854775807L-1)"
"INT_FAST16_MIN","#define INT_FAST16_MIN (-9223372036854775807L-1)"
"INT_FAST8_MIN","#define INT_FAST8_MIN (-128)"
"UINT_LEAST64_MAX","#define UINT_LEAST64_MAX (__UINT64_C(18446744073709551615))"
"UINT_LEAST32_MAX","#define UINT_LEAST32_MAX (4294967295U)"
"UINT_LEAST16_MAX","#define UINT_LEAST16_MAX (65535)"
"UINT_LEAST8_MAX","#define UINT_LEAST8_MAX (255)"
"INT_LEAST64_MAX","#define INT_LEAST64_MAX (__INT64_C(9223372036854775807))"
"INT_LEAST32_MAX","#define INT_LEAST32_MAX (2147483647)"
"INT_LEAST16_MAX","#define INT_LEAST16_MAX (32767)"
"INT_LEAST8_MAX","#define INT_LEAST8_MAX (127)"
"INT_LEAST64_MIN","#define INT_LEAST64_MIN (-__INT64_C(9223372036854775807)-1)"
"INT_LEAST32_MIN","#define INT_LEAST32_MIN (-2147483647-1)"
"INT_LEAST16_MIN","#define INT_LEAST16_MIN (-32767-1)"
"INT_LEAST8_MIN","#define INT_LEAST8_MIN (-128)"
"UINT64_MAX","#define UINT64_MAX (__UINT64_C(18446744073709551615))"
"UINT32_MAX","#define UINT32_MAX (4294967295U)"
"UINT16_MAX","#define UINT16_MAX (65535)"
"UINT8_MAX","#define UINT8_MAX (255)"
"INT64_MAX","#define INT64_MAX (__INT64_C(9223372036854775807))"
"INT32_MAX","#define INT32_MAX (2147483647)"
"INT16_MAX","#define INT16_MAX (32767)"
"INT8_MAX","#define INT8_MAX (127)"
"INT64_MIN","#define INT64_MIN (-__INT64_C(9223372036854775807)-1)"
"INT32_MIN","#define INT32_MIN (-2147483647-1)"
"INT16_MIN","#define INT16_MIN (-32767-1)"
"INT8_MIN","#define INT8_MIN (-128)"
"__intptr_t_defined","#define __intptr_t_defined "
"_STDINT_H","#define _STDINT_H 1"
"__COMPAR_FN_T","#define __COMPAR_FN_T "
"MB_CUR_MAX","#define MB_CUR_MAX (__ctype_get_mb_cur_max ())"
"EXIT_SUCCESS","#define EXIT_SUCCESS 0"
"EXIT_FAILURE","#define EXIT_FAILURE 1"
"RAND_MAX","#define RAND_MAX 2147483647"
"__lldiv_t_defined","#define __lldiv_t_defined 1"
"__ldiv_t_defined","#define __ldiv_t_defined 1"
"__WIFCONTINUED","#define __WIFCONTINUED(status) ((status) == __W_CONTINUED)"
"__HAVE_FLOAT16","#define __HAVE_FLOAT16 0"
"__HAVE_FLOAT32","#define __HAVE_FLOAT32 1"
"__HAVE_FLOAT64","#define __HAVE_FLOAT64 1"
"__GNUC_STDC_INLINE__","#define __GNUC_STDC_INLINE__ 1"
"__HAVE_FLOAT128","#define __HAVE_FLOAT128 1"
"__HAVE_FLOAT32X","#define __HAVE_FLOAT32X 1"
"__HAVE_FLOAT64X","#define __HAVE_FLOAT64X 1"
"__HAVE_FLOAT128X","#define __HAVE_FLOAT128X 0"
"__STDC__","#define __STDC__ 1"
"_GCC_WRAP_STDINT_H","#define _GCC_WRAP_STDINT_H "
"__STDC_HOSTED__","#define __STDC_HOSTED__ 1"
"npowers","#define npowers 87"
"firstpower","#define firstpower -348"
"steppowers","#define steppowers 8"
"expmin","#define expmin -60"
"__stub_stty","#define __stub_stty "
"__stub_sigreturn","#define __stub_sigreturn "
"expmax","#define expmax -32"
"__stub_setlogin","#define __stub_setlogin "
"__stub_revoke","#define __stub_revoke "
"__stub_gtty","#define __stub_gtty "
"__stub_fchflags","#define __stub_fchflags "
"__stub_chflags","#define __stub_chflags "
"__stub___compat_bdflush","#define __stub___compat_bdflush "
"__LP64__","#define __LP64__ 1"
"_ISOC2X_SOURCE","#define _ISOC2X_SOURCE 1"
"_ISOC11_SOURCE","#define _ISOC11_SOURCE 1"
"_ISOC99_SOURCE","#define _ISOC99_SOURCE 1"
"_ISOC95_SOURCE","#define _ISOC95_SOURCE 1"
"__bool_true_false_are_defined","#define __bool_true_false_are_defined 1"
"false","#define false 0"
"true","#define true 1"
"_STDBOOL_H","#define _STDBOOL_H "
"__GXX_EXPERIMENTAL_CXX0X__","#define __GXX_EXPERIMENTAL_CXX0X__ 1"
"__FD_SETSIZE","#define __FD_SETSIZE 1024"
"__KERNEL_OLD_TIMEVAL_MATCHES_TIMEVAL64","#define __KERNEL_OLD_TIMEVAL_MATCHES_TIMEVAL64 1"
"__STATFS_MATCHES_STATFS64","#define __STATFS_MATCHES_STATFS64 1"
"__RLIM_T_MATCHES_RLIM64_T","#define __RLIM_T_MATCHES_RLIM64_T 1"
"__INO_T_MATCHES_INO64_T","#define __INO_T_MATCHES_INO64_T 1"
"__OFF_T_MATCHES_OFF64_T","#define __OFF_T_MATCHES_OFF64_T 1"
"__CPU_MASK_TYPE","#define __CPU_MASK_TYPE __SYSCALL_ULONG_TYPE"
"__SYSCALL_ULONG_TYPE","#define __SYSCALL_ULONG_TYPE __ULONGWORD_TYPE"
"__SSIZE_T_TYPE","#define __SSIZE_T_TYPE __SWORD_TYPE"
"__SWORD_TYPE","#define __SWORD_TYPE long int"
"__FSID_T_TYPE","#define __FSID_T_TYPE struct { int __val[2]; }"
"__BLKSIZE_T_TYPE","#define __BLKSIZE_T_TYPE __SYSCALL_SLONG_TYPE"
"__SYSCALL_SLONG_TYPE","#define __SYSCALL_SLONG_TYPE __SLONGWORD_TYPE"
"__TIMER_T_TYPE","#define __TIMER_T_TYPE void *"
"__CLOCKID_T_TYPE","#define __CLOCKID_T_TYPE __S32_TYPE"
"__S32_TYPE","#define __S32_TYPE int"
"__KEY_T_TYPE","#define __KEY_T_TYPE __S32_TYPE"
"__DADDR_T_TYPE","#define __DADDR_T_TYPE __S32_TYPE"
"__SUSECONDS64_T_TYPE","#define __SUSECONDS64_T_TYPE __SQUAD_TYPE"
"__SQUAD_TYPE","#define __SQUAD_TYPE long int"
"__SUSECONDS_T_TYPE","#define __SUSECONDS_T_TYPE __SYSCALL_SLONG_TYPE"
"__USECONDS_T_TYPE","#define __USECONDS_T_TYPE __U32_TYPE"
"__U32_TYPE","#define __U32_TYPE unsigned int"
"__TIME_T_TYPE","#define __TIME_T_TYPE __SYSCALL_SLONG_TYPE"
"__CLOCK_T_TYPE","#define __CLOCK_T_TYPE __SYSCALL_SLONG_TYPE"
"__ID_T_TYPE","#define __ID_T_TYPE __U32_TYPE"
"__FSFILCNT64_T_TYPE","#define __FSFILCNT64_T_TYPE __UQUAD_TYPE"
"__UQUAD_TYPE","#define __UQUAD_TYPE unsigned long int"
"__FSFILCNT_T_TYPE","#define __FSFILCNT_T_TYPE __SYSCALL_ULONG_TYPE"
"__FSBLKCNT64_T_TYPE","#define __FSBLKCNT64_T_TYPE __UQUAD_TYPE"
"__FSBLKCNT_T_TYPE","#define __FSBLKCNT_T_TYPE __SYSCALL_ULONG_TYPE"
"__BLKCNT64_T_TYPE","#define __BLKCNT64_T_TYPE __SQUAD_TYPE"
"__BLKCNT_T_TYPE","#define __BLKCNT_T_TYPE __SYSCALL_SLONG_TYPE"
"__RLIM64_T_TYPE","#define __RLIM64_T_TYPE __UQUAD_TYPE"
"__RLIM_T_TYPE","#define __RLIM_T_TYPE __SYSCALL_ULONG_TYPE"
"__PID_T_TYPE","#define __PID_T_TYPE __S32_TYPE"
"__OFF64_T_TYPE","#define __OFF64_T_TYPE __SQUAD_TYPE"
"__OFF_T_TYPE","#define __OFF_T_TYPE __SYSCALL_SLONG_TYPE"
"__FSWORD_T_TYPE","#define __FSWORD_T_TYPE __SYSCALL_SLONG_TYPE"
"__NLINK_T_TYPE","#define __NLINK_T_TYPE __SYSCALL_ULONG_TYPE"
"__MODE_T_TYPE","#define __MODE_T_TYPE __U32_TYPE"
"__INO64_T_TYPE","#define __INO64_T_TYPE __UQUAD_TYPE"
"_GLIBCXX_GTHREAD_USE_WEAK","#define _GLIBCXX_GTHREAD_USE_WEAK 0"
"__INO_T_TYPE","#define __INO_T_TYPE __SYSCALL_ULONG_TYPE"
"_GLIBCXX_NATIVE_THREAD_ID","#define _GLIBCXX_NATIVE_THREAD_ID pthread_self()"
"_GLIBCXX_HAVE_FLOAT128_MATH","#define _GLIBCXX_HAVE_FLOAT128_MATH 1"
"_GLIBCXX_NO_OBSOLETE_ISINF_ISNAN_DYNAMIC","#define _GLIBCXX_NO_OBSOLETE_ISINF_ISNAN_DYNAMIC __GLIBC_PREREQ(2,23)"
"_GLIBCXX_HAVE_GETS","#define _GLIBCXX_HAVE_GETS 1"
"__NO_CTYPE","#define __NO_CTYPE 1"
"_GLIBCXX_OS_DEFINES","#define _GLIBCXX_OS_DEFINES 1"
"__linux__","#define __linux__ 1"
"__GID_T_TYPE","#define __GID_T_TYPE __U32_TYPE"
"__UID_T_TYPE","#define __UID_T_TYPE __U32_TYPE"
"__DEV_T_TYPE","#define __DEV_T_TYPE __UQUAD_TYPE"
"__ULONGWORD_TYPE","#define __ULONGWORD_TYPE unsigned long int"
"__SLONGWORD_TYPE","#define __SLONGWORD_TYPE long int"
"_BITS_TYPESIZES_H","#define _BITS_TYPESIZES_H 1"
"_BITS_TYPES_H","#define _BITS_TYPES_H 1"
"signmask","#define signmask 0x8000000000000000U"
"__TIME64_T_TYPE","#define __TIME64_T_TYPE __TIME_T_TYPE"
"_BITS_TIME64_H","#define _BITS_TIME64_H 1"
"expmask","#define expmask 0x7FF0000000000000U"
"fracmask","#define fracmask 0x000FFFFFFFFFFFFFU"
"_GLIBCXX_CPU_DEFINES","#define _GLIBCXX_CPU_DEFINES 1"
"__STD_TYPE","#define __STD_TYPE typedef"
"__U64_TYPE","#define __U64_TYPE unsigned long int"
"__S64_TYPE","#define __S64_TYPE long int"
"__ULONG32_TYPE","#define __ULONG32_TYPE unsigned int"
"__SLONG32_TYPE","#define __SLONG32_TYPE int"
"__UWORD_TYPE","#define __UWORD_TYPE unsigned long int"
"__U16_TYPE","#define __U16_TYPE unsigned short int"
"__S16_TYPE","#define __S16_TYPE short int"
"_GTHREAD_USE_MUTEX_TIMEDLOCK","#define _GTHREAD_USE_MUTEX_TIMEDLOCK 1"
"_GLIBCXX_ZONEINFO_DIR","#define _GLIBCXX_ZONEINFO_DIR ""/usr/share/zoneinfo"""
"_GLIBCXX_X86_RDSEED","#define _GLIBCXX_X86_RDSEED 1"
"_GLIBCXX_X86_RDRAND","#define _GLIBCXX_X86_RDRAND 1"
"_GLIBCXX_VERBOSE","#define _GLIBCXX_VERBOSE 1"
"_GLIBCXX_USE_WCHAR_T","#define _GLIBCXX_USE_WCHAR_T 1"
"_GLIBCXX_USE_UTIMENSAT","#define _GLIBCXX_USE_UTIMENSAT 1"
"_GLIBCXX_USE_UTIME","#define _GLIBCXX_USE_UTIME 1"
"_GLIBCXX_USE_UCHAR_C8RTOMB_MBRTOC8_FCHAR8_T","#define _GLIBCXX_USE_UCHAR_C8RTOMB_MBRTOC8_FCHAR8_T 1"
"_GLIBCXX_USE_UCHAR_C8RTOMB_MBRTOC8_CXX20","#define _GLIBCXX_USE_UCHAR_C8RTOMB_MBRTOC8_CXX20 1"
"_GLIBCXX_USE_TMPNAM","#define _GLIBCXX_USE_TMPNAM 1"
"_GLIBCXX_USE_ST_MTIM","#define _GLIBCXX_USE_ST_MTIM 1"
"_GLIBCXX_USE_SENDFILE","#define _GLIBCXX_USE_SENDFILE 1"
"_GLIBCXX_USE_SC_NPROCESSORS_ONLN","#define _GLIBCXX_USE_SC_NPROCESSORS_ONLN 1"
"_GLIBCXX_USE_SCHED_YIELD","#define _GLIBCXX_USE_SCHED_YIELD 1"
